_url,name,birth_year,weight,height,nationality
thomas-champion,Thomas  Champion,1999,70.0,193,France
enrico-franzoi,Enrico  Franzoi,1982,70.0,178,Italy
mateusz-mroz,Mateusz  Mróz,1980,67.0,173,Poland
manuel-cardoso,Manuel Antonio Leal  Cardoso,1983,70.0,179,Portugal
michele-rezzani,Michele  Rezzani,1975,60.0,169,Italy
andrea-dolci,Andrea  Dolci,1969,75.0,184,Italy
patrick-hosotte,Patrick  Hosotte,1957,70.0,177,France
sebastian-schwager,Sebastian  Schwager,1984,72.0,182,Germany
marco-fincato,Marco  Fincato,1970,65.0,175,Italy
mickael-delage,Mickaël  Delage,1985,70.0,180,France
andre-chappuis,André  Chappuis,1956,64.0,169,France
erich-spahn,Erich  Spahn,1948,69.0,174,Switzerland
wim-van-de-meulenhof,Wim van de Meulenhof,1966,67.0,175,Netherlands
alfons-scheys,Alfons  Scheys,1947,73.0,190,Belgium
bruno-cenghialta,Bruno  Cenghialta,1962,73.0,184,Italy
johan-bruyneel,Johan  Bruyneel,1964,71.0,182,Belgium
martin-prazdnovsky,Martin  Prázdnovský,1975,82.0,179,Slovakia
dorian-godon,Dorian  Godon,1996,73.0,191,France
syver-waersted,Syver  Wærsted,1996,78.0,193,Norway
antonio-bucciero,Antonio  Bucciero,1982,73.0,184,Italy
julien-stassen,Julien  Stassen,1988,66.0,182,Belgium
markus-hoelgaard,Markus  Hoelgaard,1994,74.0,188,Norway
enrique-martinez,Enrique  Martinez,1953,62.0,172,Spain
koen-vekemans,Koen  Vekemans,1966,68.0,178,Belgium
louis-pfenninger,Louis  Pfenninger,1944,70.0,183,Switzerland
mirko-selvaggi,Mirko  Selvaggi,1985,73.0,195,Italy
dag-selander,Dag  Selander,1955,73.0,190,Norway
gianluca-pierobon,Gianluca  Pierobon,1967,74.0,182,Italy
zico-waeytens,Zico  Waeytens,1991,67.0,180,Belgium
twan-castelijns,Twan  Castelijns,1989,70.0,180,Netherlands
roberto-savoldi,Roberto  Savoldi,1975,68.0,187,Italy
andre-peirsman,André  Peirsman,1948,69.0,179,Belgium
anass-ait-el-abdia,Anass  Aït El Abdia,1993,66.0,180,Morocco
dino-bertolo,Dino  Bertolo,1953,63.0,177,France
mattia-gavazzi,Mattia  Gavazzi,1983,70.0,171,Italy
david-kopp,David  Kopp,1979,68.0,184,Germany
simone-campagnari,Simone  Campagnari,1972,66.0,179,Italy
giairo-ermeti,Giairo  Ermeti,1981,60.0,174,Italy
fernando-mendes,Fernando dos Reis Dias  Mendes,1946,67.0,176,Portugal
guillaume-boivin,Guillaume  Boivin,1989,78.0,182,Canada
harry-steevens,Harry  Steevens,1945,73.0,178,Netherlands
ruben-dario-beltran,Ruben Dario  Beltran,1964,61.0,173,Colombia
paul-van-hyfte,Paul Van Hyfte,1972,70.0,177,Belgium
aketza-pena,Aketza  Peña,1981,68.0,177,Spain
tom-jelte-slagter,Tom-Jelte  Slagter,1989,57.0,169,Netherlands
